name,xpos,ypos,angle,destination,origin
city_L_arrow,0.38,0.77,50,tree1,city
city_R_arrow,0.62,0.77,-50,bush1,city
tree1_L_arrow,0.24,0.57,50,tree2,tree1
tree1_R_arrow,0.36,0.57,-50,bush2,tree1
bush1_L_arrow,0.64,0.57,50,tree3,bush1
bush1_R_arrow,0.76,0.57,-50,tree4,bush1
bush2_L_arrow,0.36,0.33,50,bush3,bush2
tree2_R_arrow,0.24,0.33,-50,bush3,bush2
tree4_L_arrow,0.76,0.33,50,bush4,tree4
tree3_R_arrow,0.64,0.33,-50,bush4,tree3
tree3_R_arrow,0.61,0.15,50,cave,bush4
tree3_R_arrow,0.39,0.15,-50,cave,bush3
