Path,Heroes,Talents,Exp,Win
"['bush1', 'tree4', 'bush4', 'cave']","[('domi', 'barbarian'), ('meijo', 'warrior'), ('pouko', 'ranger')]","{'domi': ['Rage', 'Intimidating Presence'], 'meijo': ['Prepared', 'Dangerous'], 'pouko': ['Survival Skills', 'Hunter']}",17,False
"['bush1', 'tree4', 'bush4', 'cave']","[('wuhani', 'wizard'), ('ohannes', 'wizard'), ('tyrki', 'wizard')]","{'wuhani': ['Dissolver'], 'ohannes': ['Freezing Wind'], 'tyrki': ['Icicle']}",2,False
"['bush1', 'tree3', 'bush4', 'cave']","[('insio', 'thief'), ('pouko', 'ranger'), ('urri', 'thief')]","{'insio': ['Precise Strikes', 'Greedy'], 'pouko': ['Grudge'], 'urri': ['Precise Strikes', 'Precise Strikes']}",18,False
"['tree1', 'tree2', 'bush2', 'cave']","[('tekka', 'barbarian'), ('baawo', 'wizard'), ('ohannes', 'wizard')]","{'tekka': ['Rage'], 'baawo': ['Freezing Wind'], 'ohannes': ['Icicle']}",11,False
"['tree1', 'bush2', 'bush3', 'cave']","[('meijo', 'warrior'), ('tekka', 'barbarian'), ('fantti', 'cleric')]","{'meijo': ['Threatening', 'Threatening'], 'tekka': ['Savage'], 'fantti': ['Domain Tempest', 'Lightning Zap']}",16,False
"['bush1', 'tree4', 'bush4', 'cave']","[('auri', 'thief'), ('lustav', 'bard'), ('seino', 'cleric')]","{'auri': ['Greedy'], 'lustav': ['Helpful tune'], 'seino': ['Domain War']}",8,False
"['bush1', 'tree3', 'bush4', 'cave']","[('zaku', 'paladin'), ('wuhani', 'wizard'), ('tyrki', 'wizard')]","{'zaku': ['Crusader'], 'wuhani': ['Icicle'], 'tyrki': ['Burn']}",9,False
"['bush1', 'tree4', 'bush4', 'cave']","[('huho', 'bard'), ('meijo', 'warrior'), ('domi', 'barbarian')]","{'huho': ['Acid Splash'], 'meijo': ['Dangerous'], 'domi': ['Iron Skin']}",8,False
"['tree1', 'bush2', 'bush3', 'cave']","[('heijo', 'cleric'), ('lustav', 'bard'), ('fantti', 'cleric')]","{'heijo': ['Domain Stone'], 'lustav': ['Rapid Tune'], 'fantti': ['Domain Tempest']}",9,False
"['tree1', 'bush2', 'bush3', 'cave']","[('wuhani', 'wizard'), ('surho', 'warrior'), ('fantti', 'cleric')]","{'wuhani': ['Storm Child'], 'surho': ['Well Rounded'], 'fantti': ['Domain Flame']}",9,False
"['tree1', 'tree2', 'bush2', 'cave']","[('tyrki', 'wizard'), ('seino', 'cleric'), ('fantti', 'cleric')]","{'tyrki': ['Storm Child'], 'seino': ['Domain Warmth'], 'fantti': ['Domain War']}",5,False
"['bush1', 'tree4', 'bush4', 'cave']","[('huho', 'bard'), ('pouko', 'ranger'), ('domi', 'barbarian')]","{'huho': ['Lound Tune'], 'pouko': ['Hunter', 'Survival Skills'], 'domi': ['Rage', 'Naturally Hardy']}",17,False
"['tree1', 'bush2', 'bush3', 'cave']","[('duomo', 'warrior'), ('tyrki', 'wizard'), ('heijo', 'cleric')]","{'duomo': ['Intimidating'], 'tyrki': ['Acid Splash'], 'heijo': ['Domain Tempest']}",9,False
"['tree1', 'tree2', 'bush2', 'cave']","[('fantti', 'cleric'), ('ohannes', 'wizard'), ('zaku', 'paladin')]","{'fantti': ['Domain War'], 'ohannes': ['Storm Child'], 'zaku': ['Protective Presence']}",11,False
"['tree1', 'tree2', 'bush2', 'cave']","[('pouko', 'ranger'), ('seino', 'cleric'), ('domi', 'barbarian')]","{'pouko': ['Grudge'], 'seino': ['Domain Stone'], 'domi': ['Primal Brutality']}",11,False
"['bush1', 'tree3', 'bush4', 'cave']","[('feetu', 'paladin'), ('duomo', 'warrior'), ('insio', 'thief')]","{'feetu': ['Overwhelming Presence'], 'duomo': ['Ominous', 'Threatening'], 'insio': ['Ambush', 'Agile']}",18,False
"['tree1', 'bush2', 'bush3', 'cave']","[('molli', 'cleric'), ('urri', 'thief'), ('domi', 'barbarian')]","{'molli': ['Domain Tempest', 'Speed of Wind'], 'urri': ['Precise Strikes'], 'domi': ['Iron Skin', 'Savage']}",16,False
"['bush1', 'tree4', 'bush4', 'cave']","[('zaku', 'paladin'), ('insio', 'thief'), ('meijo', 'warrior')]","{'zaku': ['Holy Presence'], 'insio': ['Nimble'], 'meijo': ['Ominous']}",8,False
"['bush1', 'tree3', 'bush4', 'cave']","[('surho', 'warrior'), ('domi', 'barbarian'), ('tekka', 'barbarian')]","{'surho': ['Armored', 'Threatening'], 'domi': ['Primal Brutality', 'Iron Skin'], 'tekka': ['Iron Skin']}",18,False
"['tree1', 'tree2', 'bush2', 'cave']","[('tyrki', 'wizard'), ('surho', 'warrior'), ('baawo', 'wizard')]","{'tyrki': ['Acid Splash'], 'surho': ['Armored'], 'baawo': ['Dissolver']}",11,False
"['tree1', 'tree2', 'bush2', 'cave']","[('duomo', 'warrior'), ('bouko', 'warrior'), ('tekka', 'barbarian')]","{'duomo': ['Intimidating'], 'bouko': ['Armored'], 'tekka': ['Primal Brutality']}",11,False
"['bush1', 'tree3', 'bush4', 'cave']","[('pouko', 'ranger'), ('duomo', 'warrior'), ('tyrki', 'wizard')]","{'pouko': ['Grasping Roots'], 'duomo': ['Armored'], 'tyrki': ['Fire Gush']}",9,False
"['tree1', 'bush2', 'bush3', 'cave']","[('molli', 'cleric'), ('huho', 'bard'), ('surho', 'warrior')]","{'molli': ['Domain Stone'], 'huho': ['Lound Tune'], 'surho': ['Armored']}",9,False
"['bush1', 'tree3', 'bush4', 'cave']","[('wuhani', 'wizard'), ('huho', 'bard'), ('bouko', 'warrior')]","{'wuhani': ['Storm Child'], 'huho': ['Virtuoso'], 'bouko': ['Armored']}",2,False
"['bush1', 'tree3', 'bush4', 'cave']","[('ohannes', 'wizard'), ('duomo', 'warrior'), ('baawo', 'wizard')]","{'ohannes': ['Lightning Zap'], 'duomo': ['Intimidating'], 'baawo': ['Dissolver']}",9,False
"['tree1', 'tree2', 'bush2', 'cave']","[('baawo', 'wizard'), ('marvi', 'thief'), ('domi', 'barbarian')]","{'baawo': ['Dissolver'], 'marvi': ['Greedy'], 'domi': ['Violent Nature']}",11,False
"['tree1', 'bush2', 'bush3', 'cave']","[('tekka', 'barbarian'), ('yanne', 'ranger'), ('surho', 'warrior')]","{'tekka': ['Savage', 'Intimidating Presence'], 'yanne': ['Hunter', 'Survival Skills'], 'surho': ['Dangerous', 'Prepared']}",27,True
"['tree1', 'bush2', 'bush3', 'cave']","[('heijo', 'cleric'), ('lustav', 'bard'), ('duomo', 'warrior')]","{'heijo': ['Domain Stone'], 'lustav': ['Helpful tune'], 'duomo': ['Dangerous']}",9,False
"['bush1', 'tree4', 'bush4', 'cave']","[('pouko', 'ranger'), ('domi', 'barbarian'), ('seino', 'cleric')]","{'pouko': ['Grudge', 'Green Power'], 'domi': ['Primal Brutality', 'Intimidating Presence'], 'seino': ['Domain Stone', 'Dense']}",17,False
"['tree1', 'bush2', 'bush3', 'cave']","[('feetu', 'paladin'), ('seino', 'cleric'), ('lustav', 'bard')]","{'feetu': ['Protective Presence'], 'seino': ['Domain Warmth'], 'lustav': ['Helpful tune']}",9,False
"['tree1', 'bush2', 'bush3', 'cave']","[('baawo', 'wizard'), ('tyrki', 'wizard'), ('molli', 'cleric')]","{'baawo': ['Fire Gush'], 'tyrki': ['Icicle'], 'molli': ['Domain War']}",3,False
"['tree1', 'bush2', 'bush3', 'cave']","[('ohannes', 'wizard'), ('fantti', 'cleric'), ('molli', 'cleric')]","{'ohannes': ['Freezing Wind'], 'fantti': ['Domain Flame'], 'molli': ['Domain Stone']}",9,False
"['bush1', 'tree3', 'bush4', 'cave']","[('surho', 'warrior'), ('urri', 'thief'), ('tyrki', 'wizard')]","{'surho': ['Prepared'], 'urri': ['Inconspicuous'], 'tyrki': ['Acid Splash']}",9,False
"['bush1', 'tree3', 'bush4', 'cave']","[('huho', 'bard'), ('heijo', 'cleric'), ('tyrki', 'wizard')]","{'huho': ['Helpful tune'], 'heijo': ['Domain Flame'], 'tyrki': ['Acid Splash']}",2,False
"['tree1', 'tree2', 'bush2', 'cave']","[('urri', 'thief'), ('yanne', 'ranger'), ('bouko', 'warrior')]","{'urri': ['Ambush'], 'yanne': ['Swift'], 'bouko': ['Dangerous']}",11,False
"['tree1', 'tree2', 'bush2', 'cave']","[('huho', 'bard'), ('yanne', 'ranger'), ('marvi', 'thief')]","{'huho': ['Icicle'], 'yanne': ['Swift'], 'marvi': ['Inconspicuous']}",11,False
"['tree1', 'bush2', 'bush3', 'cave']","[('feetu', 'paladin'), ('fantti', 'cleric'), ('domi', 'barbarian')]","{'feetu': ['Protective Presence', 'Holy Presence'], 'fantti': ['Domain Stone', 'Dense'], 'domi': ['Iron Skin', 'Iron Skin']}",16,False
"['bush1', 'tree3', 'bush4', 'cave']","[('bouko', 'warrior'), ('duomo', 'warrior'), ('surho', 'warrior')]","{'bouko': ['Dangerous', 'Armored'], 'duomo': ['Ominous', 'Dangerous'], 'surho': ['Threatening', 'Intimidating']}",18,False
"['bush1', 'tree4', 'bush4', 'cave']","[('huho', 'bard'), ('bouko', 'warrior'), ('baawo', 'wizard')]","{'huho': ['Lound Tune'], 'bouko': ['Ominous'], 'baawo': ['Storm Child']}",8,False
"['bush1', 'tree3', 'bush4', 'cave']","[('bouko', 'warrior'), ('huho', 'bard'), ('meijo', 'warrior')]","{'bouko': ['Dangerous'], 'huho': ['Acid Splash'], 'meijo': ['Well Rounded']}",9,False
"['tree1', 'tree2', 'bush2', 'cave']","[('ohannes', 'wizard'), ('molli', 'cleric'), ('yanne', 'ranger')]","{'ohannes': ['Burn'], 'molli': ['Domain Flame'], 'yanne': ['Survival Skills']}",11,False
"['bush1', 'tree3', 'bush4', 'cave']","[('meijo', 'warrior'), ('yanne', 'ranger'), ('baawo', 'wizard')]","{'meijo': ['Intimidating'], 'yanne': ['Hunter'], 'baawo': ['Fire Gush']}",9,False
"['tree1', 'tree2', 'bush2', 'cave']","[('urri', 'thief'), ('marvi', 'thief'), ('insio', 'thief')]","{'urri': ['Nimble'], 'marvi': ['Ambush'], 'insio': ['Nimble']}",11,False
"['bush1', 'tree3', 'bush4', 'cave']","[('marvi', 'thief'), ('molli', 'cleric'), ('pouko', 'ranger')]","{'marvi': ['Agile'], 'molli': ['Domain Tempest'], 'pouko': ['Survival Skills']}",9,False
"['bush1', 'tree4', 'bush4', 'cave']","[('fantti', 'cleric'), ('auri', 'thief'), ('pouko', 'ranger')]","{'fantti': ['Domain Warmth', 'Comfort'], 'auri': ['Precise Strikes', 'Deadly'], 'pouko': ['Thorn Strike']}",17,False
"['tree1', 'bush2', 'bush3', 'cave']","[('huho', 'bard'), ('seino', 'cleric'), ('domi', 'barbarian')]","{'huho': ['Virtuoso'], 'seino': ['Domain Tempest'], 'domi': ['Violent Nature']}",9,False
"['tree1', 'tree2', 'bush2', 'cave']","[('tyrki', 'wizard'), ('pouko', 'ranger'), ('ohannes', 'wizard')]","{'tyrki': ['Lightning Zap'], 'pouko': ['Grasping Roots'], 'ohannes': ['Lightning Zap']}",5,False
"['bush1', 'tree3', 'bush4', 'cave']","[('lustav', 'bard'), ('yanne', 'ranger'), ('duomo', 'warrior')]","{'lustav': ['Helpful tune'], 'yanne': ['Green Power'], 'duomo': ['Threatening']}",9,False
"['bush1', 'tree3', 'bush4', 'cave']","[('duomo', 'warrior'), ('pouko', 'ranger'), ('huho', 'bard')]","{'duomo': ['Ominous'], 'pouko': ['Survival Skills'], 'huho': ['Virtuoso']}",9,False
"['tree1', 'tree2', 'bush2', 'cave']","[('seino', 'cleric'), ('lustav', 'bard'), ('urri', 'thief')]","{'seino': ['Domain Flame'], 'lustav': ['Nimble Fingers'], 'urri': ['Nimble']}",11,False
"['bush1', 'tree3', 'bush4', 'cave']","[('meijo', 'warrior'), ('yanne', 'ranger'), ('pouko', 'ranger')]","{'meijo': ['Threatening'], 'yanne': ['Grasping Roots'], 'pouko': ['Survival Skills']}",9,False
"['bush1', 'tree3', 'bush4', 'cave']","[('yanne', 'ranger'), ('ohannes', 'wizard'), ('meijo', 'warrior')]","{'yanne': ['Grasping Roots'], 'ohannes': ['Acid Splash'], 'meijo': ['Ominous']}",9,False
"['tree1', 'bush2', 'bush3', 'cave']","[('zaku', 'paladin'), ('huho', 'bard'), ('bouko', 'warrior')]","{'zaku': ['Smite'], 'huho': ['Nimble Fingers', 'Acid Splash'], 'bouko': ['Armored', 'Well Rounded']}",16,False
